UF,Nome,Populacao
AC,Acre,906876
AL,Alagoas,3365351
AM,Amazonas,4269995
AP,Amapá,877613
BA,Bahia,14985284
CE,Ceará,9240580
DF,Distrito Federal,3094325
ES,Espírito Santo,4108508
GO,Goiás,7206589
MA,Maranhão,7153262
MG,Minas Gerais,21411923
MS,Mato Grosso do Sul,2839188
MT,Mato Grosso,3567234
PA,Pará,8777124
PB,Paraíba,4059905
PE,Pernambuco,9674793
PI,Piauí,3289290
PR,Paraná,11597484
RJ,Rio de Janeiro,17463349
RN,Rio Grande do Norte,3560903
RO,Rondônia,1815278
RR,Roraima,652713
RS,Rio Grande do Sul,11466630
SC,Santa Catarina,7338473
SE,Sergipe,2338474
SP,São Paulo,46649132
TO,Tocantins,1607363
